11604,13,17,23,29,35
11603,14,18,24,32,33
11602,3,6,9,32,39
11601,4,9,14,21,27
11600,2,6,19,30,37
11599,3,4,25,34,37
11598,7,18,19,36,37
11597,7,9,21,27,30
11596,10,12,24,26,31
11595,17,19,27,32,38
11594,4,8,10,17,21
11593,5,11,22,32,35
11592,9,14,17,26,28
11591,2,10,12,14,23
11590,3,12,16,18,19
11589,9,12,23,26,36
11588,12,21,29,36,37
11587,3,17,18,25,32
11586,11,27,32,35,36
11585,13,19,30,35,38
11584,5,8,20,24,34
11583,2,4,11,15,32
11582,10,12,17,24,34
11581,10,11,13,21,29
11580,2,14,32,33,35
11579,1,4,11,23,27
11578,4,11,17,18,20
11577,3,6,13,22,31
11576,6,8,11,35,37
11575,2,7,28,34,39
11574,2,9,13,21,32
11573,5,10,17,24,33
11572,12,20,27,35,38
11571,1,3,7,37,38
11570,1,15,25,32,37
11569,20,22,28,36,39
11568,4,11,23,25,26
11567,11,24,29,34,37
11566,2,8,14,26,33
11565,10,12,16,24,34
11564,15,17,22,24,31
11563,1,8,34,35,37
11562,6,13,18,27,34
11561,9,15,32,35,37
11560,3,5,6,25,29
11559,4,18,22,34,36
11558,5,7,10,20,25
11557,14,22,27,37,38
11556,1,6,11,33,39
11555,8,22,23,28,32
11554,13,24,29,30,39
11553,2,11,16,23,39
11552,10,17,24,25,27
11551,6,10,13,21,27
11550,5,13,19,20,38
11549,16,17,18,19,20
11548,19,26,29,32,39
11547,10,14,18,31,38
11546,5,12,19,22,27
11545,2,8,18,34,36
11544,1,3,5,12,20
11543,11,19,24,32,39
11542,5,15,17,28,30
11541,10,13,25,27,33
11540,21,27,34,36,38
11539,5,10,12,20,33
11538,9,11,14,30,32
11537,6,17,18,29,39
11536,10,16,18,27,34
11535,4,15,17,22,27
11534,2,8,12,27,30
11533,2,3,9,15,33
11532,5,23,29,32,37
11531,1,2,3,12,23
11530,3,17,20,23,34
11529,20,23,27,34,38
11528,2,6,20,29,39
11527,10,17,19,20,21
11526,10,22,30,31,37
11525,13,20,25,34,35
11524,6,11,22,28,36
11523,2,5,7,16,30
11522,5,22,23,37,39
11521,9,18,20,25,38
11520,3,17,23,24,27
11519,2,3,8,14,20
11518,3,9,21,29,32
11517,9,16,17,26,32
11516,10,21,23,24,31
11515,1,7,33,36,38
11514,2,17,24,35,36
11513,1,7,10,20,26
11512,6,14,21,22,32
11511,3,8,21,32,37
11510,1,2,18,36,39
11509,4,8,11,27,35
11508,3,4,9,17,26
11507,12,17,22,29,33
11506,20,24,28,33,39
11505,4,12,13,14,28
11504,10,12,34,36,37
11503,3,14,19,26,35
11502,6,9,32,33,34
11501,9,16,25,27,28
11500,11,13,25,37,39
11499,7,21,24,31,35
11498,9,24,27,28,37
11497,14,18,26,29,39
11496,9,22,28,32,38
11495,6,24,25,35,39
11494,2,6,20,29,38
11493,4,11,23,29,34
11492,1,6,16,19,20
11491,4,27,28,30,34
11490,16,17,26,28,33
11489,2,20,26,33,39
11488,9,12,13,29,34
11487,5,10,26,28,38
11486,7,21,27,29,36
11485,6,11,13,33,37
11484,11,13,30,33,39
11483,1,21,33,38,39
11482,1,17,25,27,34
11481,15,26,29,35,38
11480,3,13,23,31,34
11479,2,15,25,37,39
11478,14,16,20,28,30
11477,4,17,24,36,39
11476,3,9,12,14,31
11475,2,4,12,26,28
11474,2,10,13,32,37
11473,13,17,24,31,33
11472,2,8,10,17,32
11471,9,10,14,27,30
11470,8,16,22,28,37
11469,2,4,10,23,26
11468,18,26,32,36,38
11467,1,10,16,28,32
11466,9,14,28,37,39
11465,1,3,16,17,38
11464,12,27,30,35,39
11463,7,19,27,31,38
11462,1,9,11,14,28
11461,1,3,12,14,18
11460,1,7,16,28,31
11459,11,17,19,29,31
11458,9,13,14,18,35
11457,10,20,24,27,39
11456,17,29,30,35,36
11455,5,16,23,34,35
11454,3,13,19,24,29
11453,9,10,15,19,24
11452,5,6,8,30,31
11451,5,7,9,21,27
11450,8,14,19,27,33
11449,3,9,35,37,38
11448,9,11,17,22,32
11447,17,25,26,35,37
11446,3,9,20,30,36
11445,1,11,18,31,37
11444,9,11,18,30,35
11443,3,4,8,19,34
11442,8,18,26,29,34
11441,14,18,20,22,32
11440,6,9,28,31,36
11439,1,4,17,26,39
11438,3,25,28,33,39
11437,10,11,19,28,37
11436,18,19,24,25,34
11435,3,12,13,22,37
11434,7,11,12,21,33
11433,7,13,17,27,34
11432,2,9,20,22,38
11431,15,27,30,32,35
11430,14,22,25,31,32
11429,3,5,11,20,28
11428,5,7,24,28,33
11427,3,10,14,20,26
11426,3,4,31,32,39
11425,4,25,28,31,32
11424,7,25,28,30,37
11423,5,16,20,26,30
11422,1,10,26,30,34
11421,4,7,13,16,20
11420,18,22,25,33,37
11419,6,14,17,20,24
11418,3,7,32,33,35
11417,3,8,17,25,35
11416,13,14,15,23,33
11415,5,7,11,14,16
11414,6,18,33,35,36
11413,1,5,6,34,37
11412,2,12,17,21,38
11411,16,18,36,38,39
11410,3,6,14,21,36
11409,6,10,12,16,30
11408,12,16,18,25,33
11407,5,19,29,31,33
11406,5,8,9,19,20
11405,5,6,7,8,16
11404,15,18,21,30,37
11403,4,21,23,27,29
11402,1,4,6,21,32
11401,2,6,21,28,31
11400,12,25,27,34,38
