6849,8,18,37,38,41
6848,3,12,30,35,40
6847,6,17,25,33,39
6846,10,17,19,20,29
6845,16,23,24,32,40
6844,17,24,26,33,39
6843,6,10,11,33,41
6842,8,9,13,34,37
6841,9,20,22,30,36
6840,10,11,18,23,32
6839,9,10,15,24,41
6838,1,13,28,40,41
6837,5,17,19,23,39
6836,20,21,29,30,32
6835,14,16,30,31,41
6834,2,21,24,33,38
6833,19,29,33,34,41
6832,12,25,27,35,41
6831,28,29,30,40,41
6830,9,14,17,25,27
6829,2,4,31,38,40
6828,4,11,26,33,37
6827,14,22,27,36,39
6826,3,7,9,14,38
6825,3,8,11,12,34
6824,3,13,23,37,39
6823,3,15,21,28,31
6822,2,6,23,25,33
6821,7,9,11,21,30
6820,6,10,31,40,42
6819,3,19,29,34,40
6818,2,3,12,26,35
6817,5,13,24,28,35
6816,3,10,14,21,34
6815,10,11,15,26,40
6814,1,6,23,29,39
6813,3,21,30,40,41
6812,5,17,20,25,40
6811,1,5,8,34,42
6810,2,17,24,25,28
6809,8,15,23,27,33
6808,5,8,11,17,26
6807,7,18,20,25,41
6806,13,19,23,32,35
6805,4,13,19,23,37
6804,2,3,19,25,32
6803,4,7,16,25,35
6802,10,17,22,31,38
6801,7,8,18,25,34
6800,5,9,24,29,31
6799,2,9,21,22,42
6798,1,9,10,31,36
6797,1,10,15,34,42
6796,8,18,23,31,33
6795,9,13,21,29,33
6794,8,22,24,40,41
6793,13,17,23,33,42
6792,10,26,32,36,37
6791,4,14,28,39,40
6790,2,10,17,19,36
6789,7,10,19,21,33
6788,13,15,16,18,29
6787,4,15,38,39,42
6786,8,15,18,22,24
6785,11,23,24,25,29
6784,18,24,28,36,41
6783,9,10,24,27,36
6782,7,14,26,27,36
6781,12,15,25,36,37
6780,1,4,8,33,36
6779,5,7,13,30,38
6778,2,3,26,29,33
6777,2,3,5,13,24
6776,2,5,8,17,20
6775,8,25,26,35,39
6774,2,9,17,19,32
6773,6,19,22,38,40
6772,1,4,26,28,32
6771,11,17,25,29,41
6770,7,10,37,39,40
6769,4,19,23,38,42
6768,8,17,21,36,41
6767,17,25,30,36,37
6766,13,23,34,35,38
6765,11,20,25,33,37
6764,7,11,22,33,34
6763,11,16,20,22,28
6762,6,10,16,31,35
6761,17,21,22,37,41
6760,6,9,12,34,40
6759,4,16,17,34,38
6758,2,11,20,27,39
6757,5,6,7,27,30
6756,1,15,18,23,28
6755,5,10,18,31,36
6754,9,22,36,38,39
6753,1,2,4,31,42
6752,7,13,16,28,31
6751,2,5,13,27,32
6750,6,10,21,28,31
6749,6,19,28,41,42
6748,10,14,16,29,39
6747,9,10,17,19,37
6746,8,18,25,32,42
6745,10,18,20,29,42
6744,2,4,23,27,32
6743,7,14,28,31,32
6742,7,9,26,33,39
6741,2,23,25,27,35
6740,1,8,19,28,40
6739,15,22,23,35,40
6738,3,11,16,22,28
6737,7,19,22,29,30
6736,22,25,27,31,36
6735,12,17,20,21,27
6734,2,21,23,28,29
6733,3,11,16,21,27
6732,12,26,30,32,39
6731,5,14,16,32,37
6730,2,6,18,27,39
6729,2,10,23,33,39
6728,10,13,20,40,41
6727,1,2,10,11,17
6726,14,17,20,25,36
6725,4,16,18,40,41
6724,3,19,22,28,41
6723,2,9,12,14,26
6722,2,4,9,20,39
6721,4,17,20,32,37
6720,4,19,28,29,36
6719,5,9,16,37,38
6718,7,22,28,29,37
6717,9,10,16,32,41
6716,8,11,28,31,35
6715,7,8,10,26,41
6714,1,13,17,30,42
6713,17,26,27,38,41
6712,7,10,29,34,36
6711,10,18,20,39,41
6710,5,9,25,34,41
6709,19,26,31,35,38
6708,6,12,19,29,39
6707,1,8,14,24,39
6706,2,10,18,21,38
6705,8,24,28,39,41
6704,10,16,23,31,32
6703,3,18,23,26,30
6702,9,12,18,19,34
6701,3,27,31,35,39
6700,8,22,28,32,36
6699,2,5,32,35,41
6698,4,10,13,31,42
6697,10,14,24,25,40
6696,19,20,30,31,32
6695,9,14,22,29,31
6694,5,8,23,24,26
6693,3,5,18,26,37
6692,1,8,23,41,42
6691,17,25,29,38,39
6690,11,21,28,32,34
6689,1,8,22,29,34
6688,1,3,4,22,40
6687,20,25,28,33,38
6686,6,14,33,38,40
6685,2,10,21,29,40
6684,9,17,19,22,30
6683,10,25,32,36,41
6682,10,26,34,36,42
6681,11,24,28,32,33
6680,9,16,17,24,33
6679,3,27,37,40,42
6678,1,4,13,23,30
6677,2,8,19,27,28
6676,4,22,32,40,41
6675,4,12,23,25,37
6674,5,10,12,17,38
6673,3,4,13,16,33
6672,7,21,26,33,41
6671,4,5,29,33,42
6670,12,15,16,17,38
6669,5,14,20,35,40
6668,7,27,29,33,38
6667,1,5,14,17,26
6666,2,6,19,25,28
6665,3,11,31,32,33
6664,6,13,20,23,40
6663,14,15,25,26,40
6662,15,22,26,30,36
6661,23,27,31,35,42
6660,2,6,8,9,18
6659,7,9,10,32,34
6658,5,13,15,23,27
6657,2,7,25,31,36
6656,15,20,34,35,39
6655,1,4,13,16,36
6654,12,14,25,29,42
6653,2,3,8,13,20
6652,9,10,20,34,39
6651,5,8,20,22,23
6650,10,13,17,24,27
6649,1,15,34,36,38
6648,2,24,28,31,34
6647,8,11,24,30,37
6646,4,33,36,39,42
6645,5,14,27,29,33
6644,1,12,27,28,42
6643,3,8,20,35,38
6642,10,13,15,25,29
6641,3,9,24,26,41
6640,12,22,29,34,41
6639,11,17,19,21,32
6638,3,19,26,27,35
6637,2,11,14,22,24
6636,4,7,14,28,38
6635,10,25,30,38,41
6634,9,23,25,36,39
6633,8,15,18,25,29
6632,6,20,21,31,37
6631,6,9,20,28,40
6630,6,11,14,26,31
6629,7,8,33,36,40
6628,2,6,24,31,37
6627,2,9,26,28,32
6626,2,6,14,15,38
6625,9,15,36,37,38
6624,9,11,23,24,39
6623,9,20,24,33,36
6622,7,11,23,35,36
6621,6,11,15,22,26
6620,3,4,28,32,34
6619,12,14,20,30,42
6618,2,3,20,29,33
6617,11,14,23,26,39
6616,1,9,17,19,27
