subset_4,coverage_count,hist_weight
"3,10,28,33",2,0
"3,10,28,35",2,1
"3,10,28,39",2,1
"3,10,33,35",2,0
"3,10,33,39",3,1
"3,10,35,39",1,0
"3,12,14,23",3,0
"3,12,14,28",2,0
"3,12,14,33",3,2
"3,12,14,35",2,2
"3,12,14,39",2,0
"3,12,23,28",2,2
"3,12,23,33",3,2
"3,12,23,35",2,1
"3,12,23,39",2,2
"3,12,28,33",2,2
"3,12,28,35",2,1
"3,12,28,39",2,1
"3,12,33,35",4,0
"3,12,33,39",2,2
"3,12,35,39",2,0
"3,14,23,28",2,3
"3,14,23,33",2,3
"3,14,23,35",3,1
"3,14,23,39",3,1
"3,14,28,33",3,2
"3,14,28,35",2,1
"3,14,28,39",2,2
"3,14,33,35",2,1
"3,14,33,39",2,1
"3,14,35,39",2,2
"3,23,28,33",3,1
"3,23,28,35",2,0
"3,23,28,39",1,0
"3,23,33,35",2,0
"3,23,33,39",2,1
"3,23,35,39",2,0
"3,28,33,35",2,0
"3,28,33,39",3,3
"3,28,35,39",2,0
"3,33,35,39",2,1
"7,9,10,12",3,2
"7,9,10,14",2,0
"7,9,10,23",2,2
"7,9,10,28",2,1
"7,9,10,33",2,1
"7,9,10,35",2,2
"7,9,10,39",3,1
"7,9,12,14",2,1
"7,9,12,23",2,3
"7,9,12,28",2,0
"7,9,12,33",2,0
"7,9,12,35",2,0
"7,9,12,39",2,1
"7,9,14,23",2,1
"7,9,14,28",2,1
"7,9,14,33",2,2
"7,9,14,35",2,0
"7,9,14,39",2,0
"7,9,23,28",3,4
"7,9,23,33",2,1
"7,9,23,35",2,0
"7,9,23,39",3,0
"7,9,28,33",2,1
"7,9,28,35",2,0
"7,9,28,39",2,0
"7,9,33,35",2,1
"7,9,33,39",2,1
"7,9,35,39",2,1
"7,10,12,14",2,2
"7,10,12,23",2,0
"7,10,12,28",2,2
"7,10,12,33",3,1
"7,10,12,35",2,1
"7,10,12,39",2,2
"7,10,14,23",2,1
"7,10,14,28",2,1
"7,10,14,33",2,1
"7,10,14,35",2,0
"7,10,14,39",2,0
"7,10,23,28",2,2
"7,10,23,33",3,3
"7,10,23,35",2,0
"7,10,23,39",3,1
"7,10,28,33",2,1
"7,10,28,35",2,3
"7,10,28,39",3,4
"7,10,33,35",2,3
"7,10,33,39",2,1
"7,10,35,39",2,1
"7,12,14,23",3,1
"7,12,14,28",2,1
"7,12,14,33",2,0
"7,12,14,35",3,2
"7,12,14,39",2,2
"7,12,23,28",2,0
"7,12,23,33",2,0
"7,12,23,35",2,1
"7,12,23,39",3,2
"7,12,28,33",2,2
"7,12,28,35",3,2
"7,12,28,39",3,3
"7,12,33,35",2,2
