Category,Difference,pValue,Cumulative P-Value,Observed Frequency,Points
Right Bottom,14,0.00015200,0.00019770,1520,5058
Right Bottom,15,0.00003660,0.00004570,366,21882
Right Bottom,16,0.00000630,0.00000910,63,109890
Right Bottom,17,0.00000220,0.00000280,22,357143
Right Bottom,18,0.00000060,0.00000060,6,1666667
Right Top,0,0.00474960,0.00474960,47496,211
Right Top,1,0.02706130,0.03181090,270613,31
Right Top,2,0.07576630,0.10757720,757663,9
Right Top,3,0.13774010,0.24531730,1377401,4
Right Top,4,0.18259460,0.42791190,1825946,2
Right Top,5,0.18829780,0.61620970,1882978,2
Right Top,6,0.15690590,0.77311560,1569059,1
Right Top,7,0.10861290,0.88172850,1086129,1
Right Top,8,0.06378810,0.94551660,637881,1
Right Top,9,0.03225600,,322560,0
Right Top,10,0.01412530,0.02222740,141253,45
Right Top,11,0.00546860,0.00810210,54686,123
Right Top,12,0.00187070,0.00263350,18707,380
Right Top,13,0.00056480,0.00076280,5648,1311
Right Top,14,0.00015120,0.00019800,1512,5051
Right Top,15,0.00003610,0.00004680,361,21368
Right Top,16,0.00000800,0.00001070,80,93458
Right Top,17,0.00000240,0.00000270,24,370370
Right Top,18,0.00000030,0.00000030,3,3333333
Sum of 0,0,0.00466530,0.00466530,46653,214
Sum of 0,1,0.02707610,0.03174140,270761,32
Sum of 0,2,0.07582190,0.10756330,758219,9
Sum of 0,3,0.13780810,0.24537140,1378081,4
Sum of 0,4,0.18273230,0.42810370,1827323,2
Sum of 0,5,0.18835470,0.61645840,1883547,2
Sum of 0,6,0.15674890,0.77320730,1567489,1
Sum of 0,7,0.10857010,0.88177740,1085701,1
Sum of 0,8,0.06387960,0.94565700,638796,1
Sum of 0,9,0.03212820,321282,0
Sum of 0,10,0.01410140,0.02221480,141014,45
Sum of 0,11,0.00548870,0.00811340,54887,123
Sum of 0,12,0.00186600,0.00262470,18660,381
Sum of 0,13,0.00056510,0.00075870,5651,1318
Sum of 0,14,0.00014950,0.00019360,1495,5165
Sum of 0,15,0.00003450,0.00004410,345,22676
Sum of 0,16,0.00000850,0.00000960,85,104167
Sum of 0,17,0.00000090,0.00000110,9,909091
Sum of 0,18,0.00000020,0.00000020,2,5000000
Sum of 00,0,0.00470080,0.00470080,47008,213
Sum of 00,1,0.02703250,0.03173330,270325,32
Sum of 00,2,0.07585140,0.10758470,758514,9
Sum of 00,3,0.13782170,0.24540640,1378217,4
Sum of 00,4,0.18275020,0.42815660,1827502,2
Sum of 00,5,0.18815230,0.61630890,1881523,2
Sum of 00,6,0.15684230,0.77315120,1568423,1
Sum of 00,7,0.10855130,0.88170250,1085513,1
Sum of 00,8,0.06380430,0.94550680,638043,1
Sum of 00,9,0.03223820,,322382,0
Sum of 00,10,0.01420670,0.02225500,142067,45
Sum of 00,11,0.00544330,0.00804830,54433,124
Sum of 00,12,0.00185430,0.00260500,18543,384
Sum of 00,13,0.00055700,0.00075070,5570,1332
Sum of 00,14,0.00014760,0.00019370,1476,5163
Sum of 00,15,0.00003630,0.00004610,363,21692
Sum of 00,16,0.00000800,0.00000980,80,102041
Sum of 00,17,0.00000140,0.00000180,14,555556
Sum of 00,18,0.00000040,0.00000040,4,2500000
Top,3,0.00000020,0.00000020,2,5000000
Top,4,0.00000010,0.00000030,1,3333333
Top,5,0.00000120,0.00000150,12,666667
Top,6,0.00000940,0.00001090,94,91743
Top,7,0.00004900,0.00005990,490,16694
Top,8,0.00017700,0.00023690,1770,4221
Top,9,0.00059590,0.00083280,5959,1201
Top,10,0.00172180,0.00255460,17218,391
Top,11,0.00433420,0.00688880,43342,145
Top,12,0.00982540,0.01671420,98254,60
Top,13,0.01970990,0.03642410,197099,27
Top,14,0.03514850,0.07157260,351485,14
Top,15,0.05619190,0.12776450,561919,8
Top,16,0.08079750,0.20856200,807975,5
Top,17,0.10481180,0.31337380,1048118,3
Top,18,0.12218550,0.43555930,1221855,2
Top,19,0.12876680,,1287668,0
Top,20,0.12223310,0.43567390,1222331,2
Top,21,0.10466950,0.31344080,1046695,3
Top,22,0.08086040,0.20877130,808604,5
Top,23,0.05630180,0.12791090,563018,8
Top,24,0.03511120,0.07160910,351112,14
Top,25,0.01972460,0.03649790,197246,27
Top,26,0.00983590,0.01677330,98359,60
Top,27,0.00438840,0.00693740,43884,144
Top,28,0.00173250,0.00254900,17325,392
Top,29,0.00058760,0.00081650,5876,1225
Top,30,0.00017320,0.00022890,1732,4369
Top,31,0.00004370,0.00005570,437,17953
Top,32,0.00001000,0.00001200,100,83333
Top,33,0.00000170,0.00000200,17,500000
Top,34,0.00000020,0.00000030,2,3333333
Top,35,0.00000010,0.00000010,1,10000000
Top - Bottom,-32,0.00000020,0.00000020,2,5000000
Top - Bottom,-30,0.00000010,0.00000030,1,3333333
Top - Bottom,-28,0.00000120,0.00000150,12,666667
Top - Bottom,-26,0.00000940,0.00001090,94,91743
Top - Bottom,-24,0.00004900,0.00005990,490,16694
Top - Bottom,-22,0.00017700,0.00023690,1770,4221
Top - Bottom,-20,0.00059590,0.00083280,5959,1201
Top - Bottom,-18,0.00172180,0.00255460,17218,391
Top - Bottom,-16,0.00433420,0.00688880,43342,145
Top - Bottom,-14,0.00982540,0.01671420,98254,60
Top - Bottom,-12,0.01970990,0.03642410,197099,27
Top - Bottom,-10,0.03514850,0.07157260,351485,14
Top - Bottom,-8,0.05619190,0.12776450,561919,8
Top - Bottom,-6,0.08079750,0.20856200,807975,5
Top - Bottom,-4,0.10481180,0.31337380,1048118,3
Top - Bottom,-2,0.12218550,0.43555930,1221855,2
Top - Bottom,0,0.12876680,,1287668,0
Top - Bottom,2,0.12223310,0.43567390,1222331,2
Top - Bottom,4,0.10466950,0.31344080,1046695,3
Top - Bottom,6,0.08086040,0.20877130,808604,5
Top - Bottom,8,0.05630180,0.12791090,563018,8
Top - Bottom,10,0.03511120,0.07160910,351112,14
Top - Bottom,12,0.01972460,0.03649790,197246,27
Top - Bottom,14,0.00983590,0.01677330,98359,60
Top - Bottom,16,0.00438840,0.00693740,43884,144
Top - Bottom,18,0.00173250,0.00254900,17325,392
Top - Bottom,20,0.00058760,0.00081650,5876,1225
Top - Bottom,22,0.00017320,0.00022890,1732,4369
Top - Bottom,24,0.00004370,0.00005570,437,17953
Top - Bottom,26,0.00001000,0.00001200,100,83333
Top - Bottom,28,0.00000170,0.00000200,17,500000
Top - Bottom,30,0.00000020,0.00000030,2,3333333
Top - Bottom,32,0.00000010,0.00000010,1,10000000
Top Center,0,0.00003400,0.00003400,340,29412
Top Center,1,0.00041400,0.00044800,4140,2232
Top Center,2,0.00233500,0.00278300,23350,359
Top Center,3,0.00870680,0.01148980,87068,87
Top Center,4,0.02365900,0.03514880,236590,28
Top Center,5,0.05003570,0.08518450,500357,12
Top Center,6,0.08545670,0.17064120,854567,6
Top Center,7,0.12123300,0.29187420,1212330,3
Top Center,8,0.14591460,0.43778880,1459146,2
Top Center,9,0.15070210,0.58849090,1507021,2
Top Center,10,0.13557000,0.72406090,1355700,1
Top Center,11,0.10694630,0.83100720,1069463,1
Top Center,12,0.07481640,0.90582360,748164,1
Top Center,13,0.04645410,0.09417640,464541,11
Top Center,14,0.02569480,0.04772230,256948,21
Top Center,15,0.01282540,0.02202750,128254,45
Top Center,16,0.00570400,0.00920210,57040,109
Top Center,17,0.00229070,0.00349810,22907,286
Top Center,18,0.00082550,0.00120740,8255,828
Top Center,19,0.00027470,0.00038190,2747,2618
Top Center,20,0.00007760,0.00010720,776,9328
Top Center,21,0.00002330,0.00002960,233,33784
Top Center,22,0.00000440,0.00000630,44,158730
Top Center,23,0.00000170,0.00000190,17,526316
Top Center,25,0.00000020,0.00000020,2,5000000
Top Ends,0,0.00001010,0.00001010,101,99010
Top Ends,1,0.00012680,0.00013690,1268,7305
Top Ends,2,0.00080610,0.00094300,8061,1060
Top Ends,3,0.00346730,0.00441030,34673,227
Top Ends,4,0.01092650,0.01533680,109265,65
Top Ends,5,0.02656440,0.04190120,265644,24
Top Ends,6,0.05219680,0.09409800,521968,11
Top Ends,7,0.08531150,0.17940950,853115,6
Top Ends,8,0.11796720,0.29737670,1179672,3
Top Ends,9,0.14087920,0.43825590,1408792,2
Top Ends,10,0.14575040,0.58400630,1457504,2
Top Ends,11,0.13231700,0.71632330,1323170,1
Top Ends,12,0.10649220,0.82281550,1064922,1
Top Ends,13,0.07599260,0.17718450,759926,6
Top Ends,14,0.04845180,0.10119190,484518,10
Top Ends,15,0.02769200,0.05274010,276920,19
Top Ends,16,0.01420020,0.02504810,142002,40
Top Ends,17,0.00658820,0.01084790,65882,92
Top Ends,18,0.00270810,0.00425970,27081,235
Top Ends,19,0.00105240,0.00155160,10524,644
Top Ends,20,0.00035160,0.00049920,3516,2003
Top Ends,21,0.00010770,0.00014760,1077,6775
Top Ends,22,0.00003130,0.00003990,313,25063
Top Ends,23,0.00000710,0.00000860,71,116279
Top Ends,24,0.00000120,0.00000150,12,666667
Top Ends,25,0.00000030,0.00000030,3,3333333
Top Ends - Center,-21,0.00000020,0.00000020,2,5000000
Top Ends - Center,-20,0.00000050,0.00000070,5,1428571
Top Ends - Center,-19,0.00000180,0.00000250,18,400000
Top Ends - Center,-18,0.00000630,0.00000880,63,113636
Top Ends - Center,-17,0.00001390,0.00002270,139,44053
Top Ends - Center,-16,0.00003740,0.00006010,374,16639
Top Ends - Center,-15,0.00010080,0.00016090,1008,6215
Top Ends - Center,-14,0.00023380,0.00039470,2338,2534
Top Ends - Center,-13,0.00051700,0.00091170,5170,1097
Top Ends - Center,-12,0.00104040,0.00195210,10404,512
Top Ends - Center,-11,0.00205260,0.00400470,20526,250
Top Ends - Center,-10,0.00381020,0.00781490,38102,128
Top Ends - Center,-9,0.00658030,0.01439520,65803,69
Top Ends - Center,-8,0.01088990,0.02528510,108899,40
Top Ends - Center,-7,0.01711820,0.04240330,171182,24
Top Ends - Center,-6,0.02521210,0.06761540,252121,15
Top Ends - Center,-5,0.03559330,0.10320870,355933,10
Top Ends - Center,-4,0.04743360,0.15064230,474336,7
Top Ends - Center,-3,0.05995220,0.21059450,599522,5
Top Ends - Center,-2,0.07199910,0.28259360,719991,4
Top Ends - Center,-1,0.08221300,0.36480660,822130,3
Top Ends - Center,0,0.08884590,,888459,0
Top Ends - Center,1,0.09136410,0.54634750,913641,2
Top Ends - Center,2,0.08906480,0.45498340,890648,2
Top Ends - Center,3,0.08247900,0.36591860,824790,3
Top Ends - Center,4,0.07237950,0.28343960,723795,4
Top Ends - Center,5,0.06033400,0.21106010,603340,5
Top Ends - Center,6,0.04769860,0.15072610,476986,7
Top Ends - Center,7,0.03567790,0.10302750,356779,10
Top Ends - Center,8,0.02531250,0.06734960,253125,15
Top Ends - Center,9,0.01708600,0.04203710,170860,24
Top Ends - Center,10,0.01084530,0.02495110,108453,40
Top Ends - Center,11,0.00650380,0.01410580,65038,71
Top Ends - Center,12,0.00371830,0.00760200,37183,132
Top Ends - Center,13,0.00199850,0.00388370,19985,257
Top Ends - Center,14,0.00103160,0.00188520,10316,530
Top Ends - Center,15,0.00048460,0.00085360,4846,1172
Top Ends - Center,16,0.00021810,0.00036900,2181,2710
Top Ends - Center,17,0.00009120,0.00015090,912,6627
Top Ends - Center,18,0.00003850,0.00005970,385,16750
Top Ends - Center,19,0.00001410,0.00002120,141,47170
Top Ends - Center,20,0.00000480,0.00000710,48,140845
Top Ends - Center,21,0.00000170,0.00000230,17,434783
Top Ends - Center,22,0.00000050,0.00000060,5,1666667
Top Ends - Center,23,0.00000010,0.00000010,1,10000000
Upper Left,0,0.00003410,0.00003410,341,29326
Upper Left,1,0.00039900,0.00043310,3990,2309
Upper Left,2,0.00234840,0.00278150,23484,360
Upper Left,3,0.00872820,0.01150970,87282,87
Upper Left,4,0.02362370,0.03513340,236237,28
Upper Left,5,0.04996440,0.08509780,499644,12
Upper Left,6,0.08543590,0.17053370,854359,6
Upper Left,7,0.12115180,0.29168550,1211518,3
Upper Left,8,0.14576000,0.43744550,1457600,2
Upper Left,9,0.15062120,0.58806670,1506212,2
Upper Left,10,0.13568830,0.72375500,1356883,1
Upper Left,11,0.10711820,0.83087320,1071182,1
Upper Left,12,0.07490680,,749068,0
Upper Left,13,0.04646980,0.09422000,464698,11
Upper Left,14,0.02577660,0.04775020,257766,21
Upper Left,15,0.01277960,0.02197360,127796,46
Upper Left,16,0.00570030,0.00919400,57003,109
Upper Left,17,0.00227870,0.00349370,22787,286
Upper Left,18,0.00084050,0.00121500,8405,823
Upper Left,19,0.00027510,0.00037450,2751,2670
Upper Left,20,0.00007330,0.00009940,733,10060
Upper Left,21,0.00001990,0.00002610,199,38314
Upper Left,22,0.00000450,0.00000620,45,161290
Upper Left,23,0.00000140,0.00000170,14,588235
Upper Left,24,0.00000030,0.00000030,3,3333333
Upper Right,0,0.00003790,0.00003790,379,26385
Upper Right,1,0.00042060,0.00045850,4206,2181
Upper Right,2,0.00236010,0.00281860,23601,355
Upper Right,3,0.00871300,0.01153160,87130,87
Upper Right,4,0.02374670,0.03527830,237467,28
Upper Right,5,0.04997570,0.08525400,499757,12
Upper Right,6,0.08535220,0.17060620,853522,6
Upper Right,7,0.12124970,0.29185590,1212497,3
Upper Right,8,0.14567400,0.43752990,1456740,2
Upper Right,9,0.15067860,0.58820850,1506786,2
Upper Right,10,0.13566550,0.72387400,1356655,1
Upper Right,11,0.10709990,0.83097390,1070999,1
Upper Right,12,0.07483840,,748384,0
Upper Right,13,0.04649540,0.09418770,464954,11
Upper Right,14,0.02572270,0.04769230,257227,21
Upper Right,15,0.01277790,0.02196960,127779,46
Upper Right,16,0.00568470,0.00919170,56847,109
Upper Right,17,0.00229800,0.00350700,22980,285
Upper Right,18,0.00082620,0.00120900,8262,827
Upper Right,19,0.00027250,0.00038280,2725,2612
Upper Right,20,0.00008360,0.00011030,836,9066
Upper Right,21,0.00002250,0.00002670,225,37453
Upper Right,22,0.00000320,0.00000420,32,238095
Upper Right,23,0.00000080,0.00000100,8,1000000
Upper Right,24,0.00000020,0.00000020,2,5000000
Variance (Within-Run Spread),0.21052600,0.00000020,0.00000020,2,5000000
Variance (Within-Run Spread),0.26315800,0.00000180,0.00000200,18,500000
Variance (Within-Run Spread),0.31578900,0.00001860,0.00002060,186,48544
Variance (Within-Run Spread),0.36842100,0.00014210,0.00016270,1421,6146
Variance (Within-Run Spread),0.42105300,0.00068360,0.00084630,6836,1182
Variance (Within-Run Spread),0.47368400,0.00245710,0.00330340,24571,303
Variance (Within-Run Spread),0.52631600,0.00687210,0.01017550,68721,98
Variance (Within-Run Spread),0.57894700,0.01543300,0.02560850,154330,39
Variance (Within-Run Spread),0.63157900,0.02890190,0.05451040,289019,18
Variance (Within-Run Spread),0.68421100,0.04649190,0.10100230,464919,10
Variance (Within-Run Spread),0.73684200,0.06557490,0.16657720,655749,6
Variance (Within-Run Spread),0.78947400,0.08251260,0.24908980,825126,4
Variance (Within-Run Spread),0.84210500,0.09444990,0.34353970,944499,3
Variance (Within-Run Spread),0.89473700,0.09988380,0.44342350,998838,2
Variance (Within-Run Spread),0.94736800,0.09854680,0.54197030,985468,2
Variance (Within-Run Spread),1,0.09150660,0.63347690,915066,2
Variance (Within-Run Spread),1.05263200,0.08066860,0.71414550,806686,1
Variance (Within-Run Spread),1.10526300,0.06786300,0.78200850,678630,1
Variance (Within-Run Spread),1.15789500,0.05523740,0.83724590,552374,1
Variance (Within-Run Spread),1.21052600,0.04333670,0.88058260,433367,1
Variance (Within-Run Spread),1.26315800,0.03323510,0.91381770,332351,1
Variance (Within-Run Spread),1.31578900,0.02479000,0.93860770,247900,1
Variance (Within-Run Spread),1.36842100,0.01815070,0.95675840,181507,1
Variance (Within-Run Spread),1.42105300,0.01304630,0.96980470,130463,1
Variance (Within-Run Spread),1.47368400,0.00928490,0.97908960,92849,1
Variance (Within-Run Spread),1.52631600,0.00649970,0.98558930,64997,1
Variance (Within-Run Spread),1.57894700,0.00454260,0.99013190,45426,1
Variance (Within-Run Spread),1.63157900,0.00313980,0.99327170,31398,1
Variance (Within-Run Spread),1.68421100,0.00212900,0.99540070,21290,1
Variance (Within-Run Spread),1.73684200,0.00147360,0.99687430,14736,1
Variance (Within-Run Spread),1.78947400,0.00100690,0.00312570,10069,320
Variance (Within-Run Spread),1.84210500,0.00068090,0.00211880,6809,472
Variance (Within-Run Spread),1.89473700,0.00045950,0.00143790,4595,695
Variance (Within-Run Spread),1.94736800,0.00031250,0.00097840,3125,1022
Variance (Within-Run Spread),2,0.00021160,0.00066590,2116,1502
Variance (Within-Run Spread),2.05263200,0.00014360,0.00045430,1436,2201
Variance (Within-Run Spread),2.10526300,0.00009920,0.00031070,992,3219
Variance (Within-Run Spread),2.15789500,0.00006700,0.00021150,670,4728
Variance (Within-Run Spread),2.21052600,0.00004510,0.00014450,451,6920
Variance (Within-Run Spread),2.26315800,0.00003150,0.00009940,315,10060
Variance (Within-Run Spread),2.31578900,0.00002010,0.00006790,201,14728
Variance (Within-Run Spread),2.36842100,0.00001340,0.00004780,134,20921
Variance (Within-Run Spread),2.42105300,0.00001110,0.00003440,111,29070
Variance (Within-Run Spread),2.47368400,0.00000780,0.00002330,78,42918
Variance (Within-Run Spread),2.52631600,0.00000480,0.00001550,48,64516
Variance (Within-Run Spread),2.57894700,0.00000370,0.00001070,37,93458
Variance (Within-Run Spread),2.63157900,0.00000210,0.00000700,21,142857
Variance (Within-Run Spread),2.68421100,0.00000080,0.00000490,8,204082
Variance (Within-Run Spread),2.73684200,0.00000130,0.00000410,13,243902
Variance (Within-Run Spread),2.78947400,0.00000110,0.00000280,11,357143
Variance (Within-Run Spread),2.84210500,0.00000040,0.00000170,4,588235
Variance (Within-Run Spread),2.89473700,0.00000040,0.00000130,4,769231
Variance (Within-Run Spread),2.94736800,0.00000020,0.00000090,2,1111111
Variance (Within-Run Spread),3,0.00000020,0.00000070,2,1428571
Variance (Within-Run Spread),3.05263200,0.00000010,0.00000050,1,2000000
Variance (Within-Run Spread),3.21052600,0.00000010,0.00000040,1,2500000
Variance (Within-Run Spread),3.26315800,0.00000010,0.00000030,1,3333333
Variance (Within-Run Spread),3.31578900,0.00000010,0.00000020,1,5000000
Variance (Within-Run Spread),3.36842100,0.00000010,0.00000010,1,10000000
Variance Difference (Top - Bottom),-5.47368400,0.00000010,0.00000010,1,10000000
Variance Difference (Top - Bottom),-4.84210500,0.00000010,0.00000020,1,5000000
Variance Difference (Top - Bottom),-4.63157900,0.00000010,0.00000030,1,3333333
Variance Difference (Top - Bottom),-4.52631600,0.00000010,0.00000040,1,2500000
Variance Difference (Top - Bottom),-4.31578900,0.00000010,0.00000050,1,2000000
Variance Difference (Top - Bottom),-4.21052600,0.00000030,0.00000080,3,1250000
Variance Difference (Top - Bottom),-4.10526300,0.00000010,0.00000090,1,1111111
Variance Difference (Top - Bottom),-4,0.00000020,0.00000110,2,909091
Variance Difference (Top - Bottom),-3.89473700,0.00000030,0.00000140,3,714286
Variance Difference (Top - Bottom),-3.78947400,0.00000040,0.00000180,4,555556
Variance Difference (Top - Bottom),-3.68421100,0.00000120,0.00000300,12,333333
Variance Difference (Top - Bottom),-3.57894700,0.00000120,0.00000420,12,238095
Variance Difference (Top - Bottom),-3.47368400,0.00000150,0.00000570,15,175439
Variance Difference (Top - Bottom),-3.36842100,0.00000150,0.00000720,15,138889
Variance Difference (Top - Bottom),-3.26315800,0.00000360,0.00001080,36,92593
Variance Difference (Top - Bottom),-3.15789500,0.00000460,0.00001540,46,64935
Variance Difference (Top - Bottom),-3.05263200,0.00000670,0.00002210,67,45249
Variance Difference (Top - Bottom),-2.94736800,0.00001140,0.00003350,114,29851
Variance Difference (Top - Bottom),-2.84210500,0.00001530,0.00004880,153,20492
Variance Difference (Top - Bottom),-2.73684200,0.00002630,0.00007510,263,13316
Variance Difference (Top - Bottom),-2.63157900,0.00003240,0.00010750,324,9302
Variance Difference (Top - Bottom),-2.52631600,0.00004540,0.00015290,454,6540
Variance Difference (Top - Bottom),-2.42105300,0.00007020,0.00022310,702,4482
Variance Difference (Top - Bottom),-2.31578900,0.00010260,0.00032570,1026,3070
Variance Difference (Top - Bottom),-2.21052600,0.00015040,0.00047610,1504,2100
Variance Difference (Top - Bottom),-2.10526300,0.00021970,0.00069580,2197,1437
Variance Difference (Top - Bottom),-2,0.00032920,0.00102500,3292,976
Variance Difference (Top - Bottom),-1.89473700,0.00048140,0.00150640,4814,664
Variance Difference (Top - Bottom),-1.78947400,0.00070970,0.00221610,7097,451
Variance Difference (Top - Bottom),-1.68421100,0.00104820,0.00326430,10482,306
Variance Difference (Top - Bottom),-1.57894700,0.00154130,0.00480560,15413,208
Variance Difference (Top - Bottom),-1.47368400,0.00227430,0.00707990,22743,141
Variance Difference (Top - Bottom),-1.36842100,0.00336650,0.01044640,33665,96
Variance Difference (Top - Bottom),-1.26315800,0.00487350,0.01531990,48735,65
Variance Difference (Top - Bottom),-1.15789500,0.00701630,0.02233620,70163,45
Variance Difference (Top - Bottom),-1.05263200,0.01007290,0.03240910,100729,31
Variance Difference (Top - Bottom),-0.94736800,0.01410910,0.04651820,141091,21
Variance Difference (Top - Bottom),-0.84210500,0.01961320,0.06613140,196132,15
Variance Difference (Top - Bottom),-0.73684200,0.02663830,0.09276970,266383,11
Variance Difference (Top - Bottom),-0.63157900,0.03523080,0.12800050,352308,8
Variance Difference (Top - Bottom),-0.52631600,0.04534810,0.17334860,453481,6
Variance Difference (Top - Bottom),-0.42105300,0.05642410,0.22977270,564241,4
Variance Difference (Top - Bottom),-0.31578900,0.06739980,0.29717250,673998,3
Variance Difference (Top - Bottom),-0.21052600,0.07665000,0.37382250,766500,3
Variance Difference (Top - Bottom),-0.10526300,0.08331770,0.45714020,833177,2
Variance Difference (Top - Bottom),0,0.08554460,,855446,0
Variance Difference (Top - Bottom),0.10526300,0.08334050,0.45731520,833405,2
Variance Difference (Top - Bottom),0.21052600,0.07659940,0.37397470,765994,3
Variance Difference (Top - Bottom),0.31578900,0.06733940,0.29737530,673394,3
Variance Difference (Top - Bottom),0.42105300,0.05643390,0.23003590,564339,4
Variance Difference (Top - Bottom),0.52631600,0.04544660,0.17360200,454466,6
Variance Difference (Top - Bottom),0.63157900,0.03527640,0.12815540,352764,8
Variance Difference (Top - Bottom),0.73684200,0.02664910,0.09287900,266491,11
Variance Difference (Top - Bottom),0.84210500,0.01956490,0.06622990,195649,15
Variance Difference (Top - Bottom),0.94736800,0.01420980,0.04666500,142098,21
Variance Difference (Top - Bottom),1.05263200,0.01003900,0.03245520,100390,31
Variance Difference (Top - Bottom),1.15789500,0.00704180,0.02241620,70418,45
Variance Difference (Top - Bottom),1.26315800,0.00488130,0.01537440,48813,65
Variance Difference (Top - Bottom),1.36842100,0.00335870,0.01049310,33587,95
Variance Difference (Top - Bottom),1.47368400,0.00233210,0.00713440,23321,140
Variance Difference (Top - Bottom),1.57894700,0.00155520,0.00480230,15552,208
Variance Difference (Top - Bottom),1.68421100,0.00105410,0.00324710,10541,308
Variance Difference (Top - Bottom),1.78947400,0.00070950,0.00219300,7095,456
Variance Difference (Top - Bottom),1.89473700,0.00047950,0.00148350,4795,674
Variance Difference (Top - Bottom),2,0.00032200,0.00100400,3220,996
Variance Difference (Top - Bottom),2.10526300,0.00022390,0.00068200,2239,1466
Variance Difference (Top - Bottom),2.21052600,0.00014490,0.00045810,1449,2183
Variance Difference (Top - Bottom),2.31578900,0.00009640,0.00031320,964,3193
Variance Difference (Top - Bottom),2.42105300,0.00006920,0.00021680,692,4613
Variance Difference (Top - Bottom),2.52631600,0.00004590,0.00014760,459,6775
Variance Difference (Top - Bottom),2.63157900,0.00003150,0.00010170,315,9833
Variance Difference (Top - Bottom),2.73684200,0.00002070,0.00007020,207,14245
Variance Difference (Top - Bottom),2.84210500,0.00001580,0.00004950,158,20202
Variance Difference (Top - Bottom),2.94736800,0.00001060,0.00003370,106,29674
Variance Difference (Top - Bottom),3.05263200,0.00000710,0.00002310,71,43290
Variance Difference (Top - Bottom),3.15789500,0.00000410,0.00001600,41,62500
Variance Difference (Top - Bottom),3.26315800,0.00000310,0.00001190,31,84034
Variance Difference (Top - Bottom),3.36842100,0.00000370,0.00000880,37,113636
Variance Difference (Top - Bottom),3.47368400,0.00000140,0.00000510,14,196078
Variance Difference (Top - Bottom),3.57894700,0.00000160,0.00000370,16,270270
Variance Difference (Top - Bottom),3.68421100,0.00000050,0.00000210,5,476190
Variance Difference (Top - Bottom),3.78947400,0.00000020,0.00000160,2,625000
Variance Difference (Top - Bottom),3.89473700,0.00000040,0.00000140,4,714286
Variance Difference (Top - Bottom),4,0.00000050,0.00000100,5,1000000
Variance Difference (Top - Bottom),4.21052600,0.00000020,0.00000050,2,2000000
Variance Difference (Top - Bottom),4.31578900,0.00000010,0.00000030,1,3333333
Variance Difference (Top - Bottom),5.15789500,0.00000010,0.00000020,1,5000000
Variance Difference (Top - Bottom),5.26315800,0.00000010,0.00000010,1,10000000
Zero Sums Total,0,0.00000900,0.00000900,90,111111
Zero Sums Total,1,0.00012710,0.00013610,1271,7348
Zero Sums Total,2,0.00081360,0.00094970,8136,1053
Zero Sums Total,3,0.00351390,0.00446360,35139,224
Zero Sums Total,4,0.01097140,0.01543500,109714,65
Zero Sums Total,5,0.02666340,0.04209840,266634,24
Zero Sums Total,6,0.05229080,0.09438920,522908,11
Zero Sums Total,7,0.08541330,0.17980250,854133,6
Zero Sums Total,8,0.11807580,0.29787830,1180758,3
Zero Sums Total,9,0.14046380,0.43834210,1404638,2
Zero Sums Total,10,0.14568760,0.58402970,1456876,2
Zero Sums Total,11,0.13255950,0.71658920,1325595,1
Zero Sums Total,12,0.10632920,0.82291840,1063292,1
Zero Sums Total,13,0.07599090,0.89890930,759909,1
Zero Sums Total,14,0.04839650,0.10109070,483965,10
Zero Sums Total,15,0.02765880,0.05269420,276588,19
Zero Sums Total,16,0.01420300,0.02503540,142030,40
Zero Sums Total,17,0.00656640,0.01083240,65664,92
Zero Sums Total,18,0.00274690,0.00426600,27469,234
Zero Sums Total,19,0.00103180,0.00151910,10318,658
Zero Sums Total,20,0.00034710,0.00048730,3471,2052
Zero Sums Total,21,0.00010310,0.00014020,1031,7133
Zero Sums Total,22,0.00002720,0.00003710,272,26954
Zero Sums Total,23,0.00000730,0.00000990,73,101010
Zero Sums Total,24,0.00000190,0.00000260,19,384615
Zero Sums Total,25,0.00000060,0.00000070,6,1428571
Zero Sums Total,27,0.00000010,0.00000010,1,10000000
