Category,Difference,pValue,Cumulative P-Value,Observed Frequency,Points
Bottom Ends - Center,-20,0.00000030,0.00000070,3,1428571
Bottom Ends - Center,-19,0.00000200,0.00000270,20,370370
Bottom Ends - Center,-18,0.00000570,0.00000840,57,119048
Bottom Ends - Center,-17,0.00001490,0.00002330,149,42918
Bottom Ends - Center,-16,0.00004250,0.00006580,425,15198
Bottom Ends - Center,-15,0.00010850,0.00017430,1085,5737
Bottom Ends - Center,-14,0.00022980,0.00040410,2298,2475
Bottom Ends - Center,-13,0.00049940,0.00090350,4994,1107
Bottom Ends - Center,-12,0.00106510,0.00196860,10651,508
Bottom Ends - Center,-11,0.00202810,0.00399670,20281,250
Bottom Ends - Center,-10,0.00380170,0.00779840,38017,128
Bottom Ends - Center,-9,0.00656710,0.01436550,65671,70
Bottom Ends - Center,-8,0.01095410,0.02531960,109541,39
Bottom Ends - Center,-7,0.01707140,0.04239100,170714,24
Bottom Ends - Center,-6,0.02529240,0.06768340,252924,15
Bottom Ends - Center,-5,0.03562390,0.10330730,356239,10
Bottom Ends - Center,-4,0.04755240,0.15085970,475524,7
Bottom Ends - Center,-3,0.06000900,0.21086870,600090,5
Bottom Ends - Center,-2,0.07219640,0.28306510,721964,4
Bottom Ends - Center,-1,0.08211270,0.36517780,821127,3
Bottom Ends - Center,0,0.08884660,,888466,0
Bottom Ends - Center,1,0.09121300,0.54597560,912130,2
Bottom Ends - Center,2,0.08910720,0.45476260,891072,2
Bottom Ends - Center,3,0.08230510,0.36565540,823051,3
Bottom Ends - Center,4,0.07238440,0.28335030,723844,4
Bottom Ends - Center,5,0.06022710,0.21096590,602271,5
Bottom Ends - Center,6,0.04773860,0.15073880,477386,7
Bottom Ends - Center,7,0.03560740,0.10300020,356074,10
Bottom Ends - Center,8,0.02544920,0.06739280,254492,15
Bottom Ends - Center,9,0.01700820,0.04194360,170082,24
Bottom Ends - Center,10,0.01085400,0.02493540,108540,40
Bottom Ends - Center,11,0.00652930,0.01408140,65293,71
Bottom Ends - Center,12,0.00372170,0.00755210,37217,132
Bottom Ends - Center,13,0.00196870,0.00383040,19687,261
Bottom Ends - Center,14,0.00102100,0.00186170,10210,537
Bottom Ends - Center,15,0.00047750,0.00084070,4775,1189
Bottom Ends - Center,16,0.00021800,0.00036320,2180,2753
Bottom Ends - Center,17,0.00009460,0.00014520,946,6887
Bottom Ends - Center,18,0.00003220,0.00005060,322,19763
Bottom Ends - Center,19,0.00001140,0.00001840,114,54348
Bottom Ends - Center,20,0.00000400,0.00000700,40,142857
Bottom Ends - Center,21,0.00000210,0.00000300,21,333333
Bottom Ends - Center,22,0.00000050,0.00000090,5,1111111
Bottom Ends - Center,23,0.00000030,0.00000040,3,2500000
Bottom Ends - Center,24,0.00000010,0.00000010,1,10000000
Center 9 Top - Bottom,-23,0.00000010,0.00000010,1,10000000
Center 9 Top - Bottom,-22,0.00000020,0.00000030,2,3333333
Center 9 Top - Bottom,-21,0.00000040,0.00000070,4,1428571
Center 9 Top - Bottom,-20,0.00000090,0.00000160,9,625000
Center 9 Top - Bottom,-19,0.00000350,0.00000510,35,196078
Center 9 Top - Bottom,-18,0.00001020,0.00001530,102,65359
Center 9 Top - Bottom,-17,0.00002570,0.00004100,257,24390
Center 9 Top - Bottom,-16,0.00006800,0.00010900,680,9174
Center 9 Top - Bottom,-15,0.00017080,0.00027980,1708,3574
Center 9 Top - Bottom,-14,0.00037900,0.00065880,3790,1518
Center 9 Top - Bottom,-13,0.00083470,0.00149350,8347,670
Center 9 Top - Bottom,-12,0.00167940,0.00317290,16794,315
Center 9 Top - Bottom,-11,0.00321140,0.00638430,32114,157
Center 9 Top - Bottom,-10,0.00584820,0.01223250,58482,82
Center 9 Top - Bottom,-9,0.00994970,0.02218220,99497,45
Center 9 Top - Bottom,-8,0.01602590,0.03820810,160259,26
Center 9 Top - Bottom,-7,0.02425040,0.06245850,242504,16
Center 9 Top - Bottom,-6,0.03477180,0.09723030,347718,10
Center 9 Top - Bottom,-5,0.04706030,0.14429060,470603,7
Center 9 Top - Bottom,-4,0.06030770,0.20459830,603077,5
Center 9 Top - Bottom,-3,0.07329320,0.27789150,732932,4
Center 9 Top - Bottom,-2,0.08406380,0.36195530,840638,3
Center 9 Top - Bottom,-1,0.09126850,0.45322380,912685,2
Center 9 Top - Bottom,0,0.09374670,,937467,0
Center 9 Top - Bottom,1,0.09130900,0.45302950,913090,2
Center 9 Top - Bottom,2,0.08395100,0.36172050,839510,3
Center 9 Top - Bottom,3,0.07323580,0.27776950,732358,4
Center 9 Top - Bottom,4,0.06034840,0.20453370,603484,5
Center 9 Top - Bottom,5,0.04705580,0.14418530,470558,7
Center 9 Top - Bottom,6,0.03472930,0.09712950,347293,10
Center 9 Top - Bottom,7,0.02425350,0.06240020,242535,16
Center 9 Top - Bottom,8,0.01599600,0.03814670,159960,26
Center 9 Top - Bottom,9,0.00991270,0.02215070,99127,45
Center 9 Top - Bottom,10,0.00580940,0.01223800,58094,82
Center 9 Top - Bottom,11,0.00325800,0.00642860,32580,156
Center 9 Top - Bottom,12,0.00168050,0.00317060,16805,315
