#,6,21,33,16,4,23,35,14,2,0,28,9,26,30,11,7,20,32,17,5,22,34,15,3,24,36,13,1,37,27,10,25,29,12,8,19,31,18
1,1,1,,1,1,3,2,2,,,1,2,2,1,1,,,1,,2,1,2,,1,2,1,1,1,1,1,1,,1,,,2,2,
2,,,2,2,2,2,1,2,1,,2,1,1,2,,,,3,3,1,,,,,3,,1,,2,,,,1,1,2,2,1,
3,1,1,1,,3,2,,2,4,1,,1,4,,,1,2,2,1,1,,1,1,2,,,,1,,,1,1,,1,1,1,,1
4,3,1,,2,1,,1,,1,1,1,2,2,2,,,,1,,,,1,1,1,2,2,5,,,,,2,1,3,,2,,
5,,,,1,,3,,,1,1,2,1,,2,,,3,2,1,4,,,2,1,,2,1,1,2,1,,1,2,2,2,,,
6,1,1,,2,1,1,2,,1,3,,2,2,,1,2,,,1,,1,1,,1,,1,1,,2,3,1,2,2,1,1,1,,
7,,5,1,1,1,1,,1,,1,2,1,1,1,,,1,,1,3,3,3,2,2,,,1,1,1,1,2,,,1,,,,
8,,2,,1,,1,5,2,,1,1,1,,1,1,1,,2,1,2,,1,2,,,1,2,,,1,1,1,1,,1,3,2,
9,2,,2,,1,1,1,4,2,1,,2,1,2,1,1,3,,,,,1,1,,1,1,,1,2,,2,1,,1,,,1,2
10,1,1,2,,,,1,,2,1,1,4,,2,1,2,1,3,,1,1,1,2,1,,,1,1,1,,3,1,3,,,,,
11,2,2,2,,,,2,3,,1,1,1,1,,,1,2,3,2,,,2,,3,,1,1,2,1,,,,3,2,,,,
12,,2,2,1,1,,1,1,1,1,1,,2,,1,,4,,1,2,,,2,1,2,3,,1,,1,,2,,,2,,1,2
13,,,1,,1,3,,2,1,2,2,,1,1,2,,,1,3,1,,1,2,1,,2,1,,1,2,1,,,,3,1,2,
14,2,,1,3,1,4,1,,1,1,2,1,1,3,1,1,,2,,,,1,,1,1,1,,,,1,1,2,2,1,1,,1,
15,1,2,,3,3,1,1,2,,1,3,,,1,2,1,2,1,,1,,,2,1,,,1,,1,1,,1,,2,2,1,1,
16,3,3,,,4,,3,1,1,,1,,,,,,1,1,2,,1,2,2,1,2,,1,1,3,1,1,,,1,,,1,1
17,,1,4,1,,1,,,1,,1,1,1,,,1,1,1,2,2,1,,1,1,2,1,1,1,4,1,,2,,1,1,3,,
18,2,,,3,1,2,1,1,,,3,,,2,1,,1,,1,3,1,1,1,,1,1,1,2,1,,,1,,,2,2,1,2
19,1,1,,,,,,5,1,1,1,,4,,,,1,,3,3,1,,2,,2,,1,1,1,1,1,2,,1,,1,3,
20,2,,1,2,3,1,1,1,1,2,1,1,,2,3,2,1,,1,1,1,2,,1,,,,1,1,,,1,1,2,1,,1,
21,1,,1,,,2,1,1,,3,,3,1,2,,1,2,,1,2,,1,2,,1,2,2,1,,,1,1,,3,,1,1,1
22,1,1,3,,3,2,2,3,,,2,,,,,,,1,4,1,,1,1,2,,,,1,,1,1,2,3,,2,,,1
23,,3,1,3,,1,1,1,,,,2,1,,1,1,1,1,2,,2,1,,,2,,1,,1,2,1,,,,2,1,3,3
24,,1,,1,1,3,2,2,1,,2,2,1,,,,,,1,2,2,,,,2,1,1,3,,2,,,1,2,,1,3,1
25,1,1,,,2,,2,1,1,,3,1,1,1,,1,3,1,,1,,2,2,2,2,3,,,,2,,1,1,,1,1,1,
26,2,1,,1,1,,1,,2,1,2,2,,,,,1,1,,,4,,2,3,1,,1,1,2,,1,,1,3,2,1,,1
27,3,1,1,2,3,1,1,2,1,1,,1,,,1,1,,1,,2,1,,,2,,2,1,3,1,,1,1,,1,1,,2,
28,1,1,,1,,2,2,,1,3,1,2,1,,,2,,2,,,1,1,1,3,1,1,2,,1,2,,1,1,,2,1,1,
29,1,1,,1,,,4,1,,,1,2,,2,3,1,2,1,1,,1,2,,,,,2,1,1,,2,4,,,3,,1,
30,,2,2,,1,1,1,5,,,2,1,2,1,1,4,1,,,1,1,1,2,,,,,,,,1,,,3,2,1,1,1
31,,,1,2,,1,,2,,,3,1,,2,2,,,,1,1,3,,1,,2,4,4,1,1,1,,,,1,1,3,,
32,,3,,,,,1,1,,4,,,1,1,,2,2,2,1,1,1,,,1,1,,1,1,3,3,1,1,1,4,,1,,
33,,5,1,2,,2,,2,1,2,1,2,1,,1,2,1,1,,,1,2,1,,,,2,1,1,1,2,1,1,,,,,1
34,,3,2,3,,,1,1,1,,1,,1,2,,,,1,1,1,2,2,1,,,2,1,,2,2,2,2,,,2,2,,
35,,2,2,2,2,,1,,2,1,,2,1,2,1,1,1,2,,,,1,,2,5,,1,,,,2,,,2,1,1,,1
36,,3,3,2,1,1,2,1,,2,1,2,,1,2,,,,,2,4,,2,,,,3,,,1,1,2,2,,,,,
37,,,1,3,1,,3,,,,,1,1,2,1,,,,2,,2,,4,1,1,,2,1,,1,,1,1,3,1,1,3,1
38,1,,3,,,1,1,1,2,1,1,2,3,,,2,,1,1,,1,2,,,1,,,4,1,,1,3,1,1,1,1,,1
39,,,1,1,1,1,2,,3,1,,,,1,,2,,1,1,1,3,,,2,1,1,,1,1,,1,2,3,4,,,2,1
40,1,1,,1,,,,3,1,3,1,,1,1,1,,,,1,,,3,,,2,3,2,,2,2,,1,3,1,1,,1,2
41,,1,3,1,,2,,,,,,1,2,4,,,3,3,,1,,1,,2,,1,,,1,2,,1,,1,3,2,,3
42,3,1,2,5,1,,,1,2,1,,1,2,,1,,1,2,,,1,,,1,1,2,,,,1,,1,1,2,2,,2,1
43,1,1,,,1,3,1,2,4,2,1,1,2,,2,,,1,,,1,,,1,,2,1,2,2,1,1,,1,,2,,2,
44,,1,1,1,,2,1,,,1,1,,1,1,2,2,4,,,,4,,2,1,,,,1,2,,1,3,,,,1,3,2
45,,,,1,,1,2,,2,1,,,,2,,3,,1,3,,,1,1,1,2,1,2,,4,4,1,,1,2,,,1,1
46,,1,,1,,,,,2,3,,1,1,3,,1,2,2,2,1,,,3,2,,2,2,3,,1,,1,1,2,1,,,
47,,1,2,,1,,1,2,1,1,1,,1,1,,1,,2,2,1,4,,,,2,,2,2,2,3,,1,1,,,1,1,1
48,1,1,1,2,,2,,,2,2,2,1,3,1,3,,1,1,,2,1,,1,,1,,2,2,1,,,,1,,,1,3,
49,2,,,1,1,1,,1,,,4,2,2,,4,,1,1,1,,3,2,,1,1,,1,1,2,1,,,1,2,,1,1,
50,1,1,,1,,1,1,,1,1,1,,1,1,1,1,1,,4,3,1,,1,2,,2,,,1,,1,2,1,5,,2,,
