Category,Difference,pValue,Cumulative P-Value,Observed Frequency
Variance (Within-Run Spread),0,0.002463,0.009990,24628
Variance (Within-Run Spread),2,0.003102,0.013091,31020
Variance (Within-Run Spread),2,0.004524,0.017615,45236
Variance (Within-Run Spread),2,0.006497,0.024112,64973
Variance (Within-Run Spread),1,0.006876,0.030988,68758
Variance (Within-Run Spread),1,0.009328,0.040316,93281
Variance (Within-Run Spread),1,0.013098,0.053414,130977
Variance (Within-Run Spread),1,0.015369,0.068783,153686
Variance (Within-Run Spread),1,0.018147,0.086929,181467
Variance (Within-Run Spread),1,0.024802,0.111731,248019
Variance (Within-Run Spread),1,0.028865,0.140596,288652
Variance (Within-Run Spread),1,0.033215,0.173812,332154
Variance (Within-Run Spread),1,0.043509,0.217321,435093
Variance (Within-Run Spread),1,0.046461,0.263782,464613
Variance (Within-Run Spread),1,0.055182,0.318964,551815
Variance (Within-Run Spread),1,0.065422,0.384386,654216
Variance (Within-Run Spread),1,0.068065,0.452451,680654
Variance (Within-Run Spread),1,0.080600,0.533051,806002
Variance (Within-Run Spread),1,0.082655,0.615706,826551
Variance (Within-Run Spread),1,0.091577,0.707284,915773
Variance (Within-Run Spread),1,0.094389,0.801673,943891
Variance (Within-Run Spread),1,0.098527,0.900200,985270
Variance (Within-Run Spread),1,0.099800,1.000000,998004
Variance Difference (Top - Bottom),-4,0.000000,0.000000,1
Variance Difference (Top - Bottom),-4,0.000000,0.000000,1
Variance Difference (Top - Bottom),-4,0.000000,0.000000,1
Variance Difference (Top - Bottom),-5,0.000000,0.000000,2
Variance Difference (Top - Bottom),-4,0.000000,0.000001,2
Variance Difference (Top - Bottom),4,0.000000,0.000001,2
Variance Difference (Top - Bottom),4,0.000000,0.000001,2
Variance Difference (Top - Bottom),5,0.000000,0.000001,2
Variance Difference (Top - Bottom),4,0.000000,0.000002,3
Variance Difference (Top - Bottom),4,0.000000,0.000002,3
Variance Difference (Top - Bottom),4,0.000000,0.000002,3
Variance Difference (Top - Bottom),-4,0.000000,0.000003,5
Variance Difference (Top - Bottom),4,0.000001,0.000003,6
Variance Difference (Top - Bottom),-4,0.000001,0.000004,9
Variance Difference (Top - Bottom),4,0.000001,0.000005,11
Variance Difference (Top - Bottom),-3,0.000001,0.000006,12
Variance Difference (Top - Bottom),-4,0.000001,0.000008,14
Variance Difference (Top - Bottom),4,0.000001,0.000009,14
Variance Difference (Top - Bottom),-4,0.000002,0.000011,17
Variance Difference (Top - Bottom),3,0.000002,0.000013,21
Variance Difference (Top - Bottom),-3,0.000002,0.000016,25
Variance Difference (Top - Bottom),3,0.000003,0.000018,26
Variance Difference (Top - Bottom),-3,0.000004,0.000022,35
Variance Difference (Top - Bottom),3,0.000004,0.000026,43
Variance Difference (Top - Bottom),3,0.000005,0.000031,47
Variance Difference (Top - Bottom),-3,0.000005,0.000036,51
Variance Difference (Top - Bottom),3,0.000007,0.000042,67
Variance Difference (Top - Bottom),-3,0.000007,0.000050,71
Variance Difference (Top - Bottom),3,0.000009,0.000058,87
Variance Difference (Top - Bottom),-3,0.000009,0.000068,94
Variance Difference (Top - Bottom),3,0.000014,0.000081,136
Variance Difference (Top - Bottom),-3,0.000015,0.000097,154
Variance Difference (Top - Bottom),3,0.000020,0.000116,198
Variance Difference (Top - Bottom),-3,0.000023,0.000140,230
Variance Difference (Top - Bottom),3,0.000031,0.000170,308
Variance Difference (Top - Bottom),-3,0.000035,0.000205,348
Variance Difference (Top - Bottom),3,0.000046,0.000251,458
Variance Difference (Top - Bottom),-3,0.000050,0.000301,497
Variance Difference (Top - Bottom),-2,0.000066,0.000366,659
Variance Difference (Top - Bottom),2,0.000067,0.000433,668
Variance Difference (Top - Bottom),2,0.000104,0.000538,1042
Variance Difference (Top - Bottom),-2,0.000105,0.000642,1046
Variance Difference (Top - Bottom),2,0.000152,0.000795,1524
Variance Difference (Top - Bottom),-2,0.000153,0.000948,1531
Variance Difference (Top - Bottom),2,0.000219,0.001166,2189
Variance Difference (Top - Bottom),-2,0.000226,0.001392,2259
Variance Difference (Top - Bottom),-2,0.000318,0.001711,3182
Variance Difference (Top - Bottom),2,0.000331,0.002041,3307
Variance Difference (Top - Bottom),-2,0.000476,0.002517,4760
Variance Difference (Top - Bottom),2,0.000496,0.003013,4957
Variance Difference (Top - Bottom),2,0.000703,0.003716,7030
Variance Difference (Top - Bottom),-2,0.000707,0.004423,7068
Variance Difference (Top - Bottom),-2,0.001056,0.005479,10558
Variance Difference (Top - Bottom),2,0.001072,0.006550,10717
Variance Difference (Top - Bottom),-2,0.001530,0.008080,15296
Variance Difference (Top - Bottom),2,0.001540,0.009620,15403
Variance Difference (Top - Bottom),1,0.002289,0.011909,22890
Variance Difference (Top - Bottom),-1,0.002299,0.014208,22990
Variance Difference (Top - Bottom),1,0.003346,0.017554,33456
Variance Difference (Top - Bottom),-1,0.003367,0.020921,33669
Variance Difference (Top - Bottom),-1,0.004809,0.025730,48092
Variance Difference (Top - Bottom),1,0.004875,0.030605,48750
Variance Difference (Top - Bottom),1,0.006987,0.037592,69866
Variance Difference (Top - Bottom),-1,0.007027,0.044619,70274
Variance Difference (Top - Bottom),-1,0.010000,0.054619,100002
Variance Difference (Top - Bottom),1,0.010066,0.064685,100656
Variance Difference (Top - Bottom),-1,0.014147,0.078832,141474
Variance Difference (Top - Bottom),1,0.014166,0.092998,141661
Variance Difference (Top - Bottom),1,0.019639,0.112637,196389
Variance Difference (Top - Bottom),-1,0.019696,0.132333,196955
Variance Difference (Top - Bottom),1,0.026627,0.158959,266267
Variance Difference (Top - Bottom),-1,0.026663,0.185622,266626
Variance Difference (Top - Bottom),-1,0.035263,0.220885,352628
Variance Difference (Top - Bottom),1,0.035369,0.256254,353691
Variance Difference (Top - Bottom),-1,0.045469,0.301722,454687
Variance Difference (Top - Bottom),1,0.045508,0.347231,455081
Variance Difference (Top - Bottom),0,0.056325,0.403556,563249
Variance Difference (Top - Bottom),0,0.056337,0.459893,563374
Variance Difference (Top - Bottom),0,0.067193,0.527086,671932
Variance Difference (Top - Bottom),0,0.067425,0.594511,674248
Variance Difference (Top - Bottom),0,0.076658,0.671169,766581
Variance Difference (Top - Bottom),0,0.076880,0.748049,768797
Variance Difference (Top - Bottom),0,0.083030,0.831078,830298
Variance Difference (Top - Bottom),0,0.083355,0.914434,833553
Variance Difference (Top - Bottom),0,0.085566,1.000000,855662
Zero Sums Total,25,0.000000,0.000000,1
Zero Sums Total,26,0.000000,0.000000,2
Zero Sums Total,24,0.000001,0.000002,12
Zero Sums Total,23,0.000007,0.000008,69
Zero Sums Total,0,0.000010,0.000019,105
Zero Sums Total,22,0.000029,0.000048,294
Zero Sums Total,21,0.000103,0.000152,1033
Zero Sums Total,1,0.000128,0.000279,1278
Zero Sums Total,20,0.000358,0.000637,3577
Zero Sums Total,2,0.000826,0.001464,8265
Zero Sums Total,19,0.001019,0.002483,10191
Zero Sums Total,18,0.002734,0.005217,27343
Zero Sums Total,3,0.003489,0.008706,34890
Zero Sums Total,17,0.006563,0.015269,65629
Zero Sums Total,4,0.010913,0.026182,109129
Zero Sums Total,16,0.014226,0.040408,142265
Zero Sums Total,5,0.026696,0.067104,266956
Zero Sums Total,15,0.027592,0.094696,275924
Zero Sums Total,14,0.048545,0.143241,485448
Zero Sums Total,6,0.052202,0.195443,522015
Zero Sums Total,13,0.076064,0.271506,760639
Zero Sums Total,7,0.085433,0.356940,854334
Zero Sums Total,12,0.106458,0.463398,1064582
Zero Sums Total,8,0.118120,0.581518,1181196
Zero Sums Total,11,0.132393,0.713911,1323931
Zero Sums Total,9,0.140378,0.854288,1403776
Zero Sums Total,10,0.145712,1.000000,1457116
